                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7663,                 5.4085,                 4.3497,                  7e-05,                0.00201,                  4e-05,                      0,                 4.9774,                 5.4143,                 4.0551,               0.070882,              0.0032353,              0.0032353
                      1,                 4.2696,                 4.3717,                 4.0657,                  7e-05,                0.00201,                  4e-05,                      0,                 4.9132,                 5.0926,                 4.0176,                0.04085,              0.0065361,              0.0065361
                      2,                 3.5516,                  3.604,                 3.5052,                0.00036,                0.01004,                0.00018,                  4e-05,                 4.8766,                 4.9719,                 4.0135,               0.010784,              0.0098039,              0.0098039
                      3,                  3.167,                 3.2769,                 3.0904,                0.22202,                0.08835,                0.05425,                0.01807,                 3.0132,                  3.054,                 3.2558,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.8875,                 2.9932,                 2.7595,                0.06641,                 0.2008,                 0.0313,                0.01102,                 2.9281,                 34.626,                 3.5255,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.7688,                  2.483,                  2.672,                   0.11,                 0.1747,                0.03704,                0.01033,                 3.1558,                 8.8131,                   3.31,               0.009802,               0.009802,               0.009802
                      6,                 2.5897,                 2.2971,                 2.4931,                0.13923,                0.14859,                0.05883,                0.01376,                 3.1669,                 2.8631,                 2.9557,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.4336,                 2.0954,                 2.4066,                0.43503,                0.22088,                0.19136,                0.06487,                 2.6865,                 6.6932,                 2.7599,               0.009703,               0.009703,               0.009703
                      8,                 2.3035,                  2.045,                 2.3141,                0.13714,                0.19076,                 0.0859,                 0.0307,                 2.3549,                 2.4782,                 2.2892,              0.0096535,              0.0096535,              0.0096535
                      9,                  2.159,                 1.9121,                  2.156,                 0.7006,                0.30522,                0.33557,                0.15464,                 2.2043,                 2.0755,                  2.143,               0.009604,               0.009604,               0.009604
                     10,                 2.1702,                 1.8384,                 2.1347,                0.58015,                 0.3494,                0.36077,                0.13772,                 2.2804,                 2.3613,                 2.1478,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.1092,                 1.6688,                 2.0666,                0.46139,                0.36123,                0.30185,                0.09829,                 2.3291,                 1.8849,                 2.1449,               0.009505,               0.009505,               0.009505
