                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.6704,                 5.6073,                 4.0955,                      0,                      0,                      0,                      0,                 3.5311,                 5.5384,                 3.8664,                  0.091,                  0.001,                  0.001
                      1,                 4.0435,                 5.5147,                   3.77,                      0,                      0,                      0,                      0,                 3.2287,                 5.4915,                 3.6933,               0.081093,              0.0020931,              0.0020931
                      2,                 3.9784,                 5.4422,                 3.5665,                      0,                      0,                      0,                      0,                 3.1494,                 5.4602,                 3.6097,               0.071179,              0.0031789,              0.0031789
                      3,                 3.6156,                 5.3857,                 3.4802,                      0,                      0,                      0,                      0,                 3.1631,                 5.4407,                 3.5592,               0.061257,              0.0042574,              0.0042574
                      4,                 3.3566,                 5.3011,                 3.3199,                      0,                      0,                      0,                      0,                 3.1842,                 5.4301,                  3.519,               0.051329,              0.0053287,              0.0053287
                      5,                 3.2119,                 5.1706,                 3.1984,                      0,                      0,                      0,                      0,                 3.1812,                 5.4323,                 3.4864,               0.041393,              0.0063927,              0.0063927
                      6,                 3.0259,                 4.9169,                 2.9627,                      0,                      0,                      0,                      0,                 3.1707,                 5.4391,                  3.466,                0.03145,              0.0074495,              0.0074495
                      7,                 2.8115,                  4.637,                 2.7866,                      0,                      0,                      0,                      0,                 3.0473,                 5.3854,                 3.4117,               0.021499,               0.008499,               0.008499
                      8,                 2.6644,                 4.2826,                 2.7143,                0.00451,                0.00823,                0.00383,                0.00103,                 2.9547,                 5.3293,                  3.384,               0.011541,              0.0095413,              0.0095413
                      9,                 2.6041,                  3.984,                 2.5166,                0.18612,                0.02576,                0.00841,                0.00255,                 2.6179,                 5.1332,                 3.0244,               0.009703,               0.009703,               0.009703
